,word,adult_definition,kids_definition,simplified,similarity
9122,hunchback,A person whose back is hunched because of abnormal curvature of the upper spine.,an offensive word for a round part that sticks out on somebody's back caused by an unusual curve in the spine (= the row of bones in the middle of the back) or for a person whose back is like this,A bad word for a big bump on someone's back that happens when their spine is curved in an unusual way.,0.9102995
9123,humpback,A person whose back is hunched because of abnormal curvature of the upper spine.,'a large whale (= a very large sea animal) with a back that is like a hump in shape',A big whale was swimming through the water with great force.,0.73126256
9124,mimetic,Characterized by or of the nature of or using mimesis.,'copying the behaviour or appearance of somebody/something else',They were acting like another person.,0.62135875
9125,theorize,To believe especially on uncertain or tentative grounds.,'to suggest facts and ideas to explain something; to form a theory or theories about something',to think about something and come up with a good idea.,0.71119463
9126,graphology,The study of handwriting especially as a means of analyzing character.,'the study of handwriting for example as a way of learning more about somebody’s character','looking at handwriting helps us learn about someone's character'.,0.8761067
9127,separatism,A social system that provides separate facilities for minority groups.,'the desire by a group of people within a country to separate from the rest of the country and form their own government',Some people in a country want to break away and have their own government.,0.7936823
9128,manicure,Cosmetic treatment of the hands and fingernails.,'the care and treatment of a person’s hands and nails',They take care of people's hands and nails.,0.779348
9129,aegis,A armor plate that protects the chest; the front part of a cuirass.,'with the protection or support of a particular organization or person','with the help of someone or a group',0.7651267
9130,pernicious,Working or spreading in a hidden and usually injurious way.,'having a very harmful effect on somebody/something especially in a way that is not easily noticed',"hurting someone or something very badly, especially in a way that is not easy to see.",0.82205516
9131,woodcut,A print that was made using the woodcut technique.,'a print that is made from a pattern cut in a piece of wood',A picture made from a wooden block with a special shape cut into it.,0.8351252
9132,medication,A medicine or all the medicines regularly taken by a patient.,'a drug or another form of medicine that you take to prevent or to treat an illness; treatment involving drugs',Medicine to make us feel better.,0.68455034
9133,gadfly,Any of various large flies that annoy livestock.,'a person who annoys or criticizes other people in order to make them do something',The person who tells others what to do in a mean way.,0.8339269
9134,hairdo,The style in which a person's hair is cut arranged and worn.,'the style in which a person’s hair is arranged','how someone wears their hair',0.83908314
